page_url,type,severity,detail,suggestion
https://breastcalculator.com/specials/accessory-breast-guide.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/specials/accessory-breast-guide.html,OG_TITLE_MISMATCH,LOW,og:title (58 chars) differs significantly from <title> (84 chars),"title: Accessory Breast Guide — Causes, Symptoms, Diagnosis & Treatment | Breast Calculator | og:title: Accessory Breast — Causes, Symptoms, Diagnosis & Treatment"
https://breastcalculator.com/specials/buying-guide.html,TITLE_TOO_LONG,MEDIUM,Title is 70 chars (max 60),D+ Cup Bra Buying Guide — Evidence-Based Selection |...
https://breastcalculator.com/specials/buying-guide.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/specials/buying-guide.html,MISSING_OG_URL,MEDIUM,Missing og:url,"<meta property=""og:url"" content=""https://breastcalculator.com/specials/buying-guide.html"">"
https://breastcalculator.com/specials/expansion-evidence.html,TITLE_TOO_LONG,MEDIUM,Title is 79 chars (max 60),Breast Expansion (Splaying) — Causes and Corrective...
https://breastcalculator.com/specials/expansion-evidence.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/specials/expansion-evidence.html,MISSING_OG_URL,MEDIUM,Missing og:url,"<meta property=""og:url"" content=""https://breastcalculator.com/specials/expansion-evidence.html"">"
https://breastcalculator.com/specials/ptosis-prevention-evidence.html,TITLE_TOO_LONG,MEDIUM,Title is 67 chars (max 60),Breast Ptosis Prevention — Evidence-Based Guide | Breast...
https://breastcalculator.com/specials/ptosis-prevention-evidence.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/specials/ptosis-prevention-evidence.html,MISSING_OG_URL,MEDIUM,Missing og:url,"<meta property=""og:url"" content=""https://breastcalculator.com/specials/ptosis-prevention-evidence.html"">"
https://breastcalculator.com/specials/sports-bra-science.html,TITLE_TOO_LONG,MEDIUM,Title is 71 chars (max 60),Sports Bra Science — Biomechanics of Breast Support |...
https://breastcalculator.com/specials/sports-bra-science.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/specials/sports-bra-science.html,MISSING_OG_URL,MEDIUM,Missing og:url,"<meta property=""og:url"" content=""https://breastcalculator.com/specials/sports-bra-science.html"">"
https://breastcalculator.com/specials/why-d-cup-support.html,TITLE_TOO_LONG,MEDIUM,Title is 61 chars (max 60),Why D+ Cup Women Need Specialized Support | Breast...
https://breastcalculator.com/specials/why-d-cup-support.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 167 chars (max 160),"Science-backed guide explaining why D+ cup women need specialized breast support. Validated research on Cooper's ligaments, breast biomechanics, and sports bra design."
https://breastcalculator.com/specials/why-d-cup-support.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-expansion-calculator-es.html,TITLE_TOO_LONG,MEDIUM,Title is 77 chars (max 60),Calculadora de Expansión Mamaria | Evalúe la Separación...
https://breastcalculator.com/tools/breast-expansion-calculator-es.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-expansion-calculator.html,TITLE_TOO_LONG,MEDIUM,Title is 74 chars (max 60),Breast Expansion (Splaying) Calculator | Bra Size Tool |...
https://breastcalculator.com/tools/breast-expansion-calculator.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 182 chars (max 160),Free breast expansion calculator to assess breast splaying using nipple-spacing ratio. Understand your breast shape and find the right bra fit. Part of our bra size calculator suite.
https://breastcalculator.com/tools/breast-expansion-calculator.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-ptosis-calculator-es.html,TITLE_TOO_LONG,MEDIUM,Title is 69 chars (max 60),Calculadora de Ptosis Mamaria | Evalúe la Caída |...
https://breastcalculator.com/tools/breast-ptosis-calculator-es.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-ptosis-calculator.html,TITLE_TOO_LONG,MEDIUM,Title is 73 chars (max 60),Breast Ptosis (Sagging) Calculator | Bra Fitting Tool |...
https://breastcalculator.com/tools/breast-ptosis-calculator.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 179 chars (max 160),Free breast ptosis calculator to grade breast sagging using nipple-to-inframammary fold distance. Understand ptosis severity and find bra solutions. Bra size calculator companion.
https://breastcalculator.com/tools/breast-ptosis-calculator.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-ptosis-calculator.html,OG_TITLE_MISMATCH,LOW,og:title (48 chars) differs significantly from <title> (73 chars),title: Breast Ptosis (Sagging) Calculator | Bra Fitting Tool | Breast Calculator | og:title: Breast Ptosis (Sagging) Calculator | Bra Fitting
https://breastcalculator.com/tools/breast-volume-calculator-es.html,TITLE_TOO_LONG,MEDIUM,Title is 74 chars (max 60),Calculadora de Volumen Mamario | Estimación en cc/mL |...
https://breastcalculator.com/tools/breast-volume-calculator-es.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 163 chars (max 160),Calculadora de volumen mamario gratuita para estimar el volumen de sus senos en cc/mL usando medidas del busto y el torso. Comprenda su talla para un mejor ajuste.
https://breastcalculator.com/tools/breast-volume-calculator-es.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-volume-calculator-es.html,OG_TITLE_MISMATCH,LOW,og:title (52 chars) differs significantly from <title> (74 chars),title: Calculadora de Volumen Mamario | Estimación en cc/mL | Calculadora Mamaria | og:title: Calculadora de Volumen Mamario | Estimación en cc/mL
https://breastcalculator.com/tools/breast-volume-calculator.html,TITLE_TOO_LONG,MEDIUM,Title is 68 chars (max 60),Breast Volume Calculator | CC/mL Estimation Tool |...
https://breastcalculator.com/tools/breast-volume-calculator.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 184 chars (max 160),Free breast volume calculator to estimate your breast volume in cc/mL using bust and underbust measurements. Understand your breast size for bra fitting. Bra size calculator companion.
https://breastcalculator.com/tools/breast-volume-calculator.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/breast-volume-calculator.html,OG_TITLE_MISMATCH,LOW,og:title (43 chars) differs significantly from <title> (68 chars),title: Breast Volume Calculator | CC/mL Estimation Tool | Breast Calculator | og:title: Breast Volume Calculator | CC/mL Estimation
https://breastcalculator.com/tools/length-converter-es.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/length-converter-es.html,OG_TITLE_MISMATCH,LOW,og:title (37 chars) differs significantly from <title> (59 chars),title: Conversor de Longitud | Pulgadas a CM | Calculadora Mamaria | og:title: Conversor de Longitud | Pulgadas a CM
https://breastcalculator.com/tools/length-converter.html,TITLE_TOO_LONG,MEDIUM,Title is 87 chars (max 60),Length Conversion Calculator | Inches to cm Converter |...
https://breastcalculator.com/tools/length-converter.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 241 chars (max 160),"Free online length conversion calculator. Convert between inches (in) and centimeters (cm) instantly. Essential tool for accurate bra fitting measurements, band size conversion, and bust measurement conversion. Bra size calculator companion."
https://breastcalculator.com/tools/length-converter.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/tools/length-converter.html,OG_TITLE_MISMATCH,LOW,og:title (62 chars) differs significantly from <title> (87 chars),title: Length Conversion Calculator | Inches to cm Converter | Bra Fitting | Breast Calculator | og:title: Length Conversion Calculator | Inches to cm | Bra Fitting Tool
https://breastcalculator.com/wellness/prosthetic-bras-guide.html,TITLE_TOO_LONG,MEDIUM,Title is 68 chars (max 60),Prosthetic Bras Guide | Comfort After Mastectomy |...
https://breastcalculator.com/wellness/prosthetic-bras-guide.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/wellness/prosthetic-bras-guide.html,MISSING_OG_URL,MEDIUM,Missing og:url,"<meta property=""og:url"" content=""https://breastcalculator.com/wellness/prosthetic-bras-guide.html"">"
https://breastcalculator.com/wellness/sports-bras-after-surgery.html,TITLE_TOO_LONG,MEDIUM,Title is 78 chars (max 60),Sports Bras After Surgery | Post-Surgical Activewear...
https://breastcalculator.com/wellness/sports-bras-after-surgery.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/wellness/sports-bras-after-surgery.html,MISSING_OG_URL,MEDIUM,Missing og:url,"<meta property=""og:url"" content=""https://breastcalculator.com/wellness/sports-bras-after-surgery.html"">"
